,Time,Open,High,Low,Close,Volume
732,2020-11-20 01:00:00,17802.81,18815.22,17740.04,18655.67,88423.018489
733,2020-11-21 01:00:00,18655.66,18965.9,18308.58,18703.8,75577.458394
734,2020-11-22 01:00:00,18703.8,18750,17610.86,18414.43,81645.737778
735,2020-11-23 01:00:00,18413.88,18766,18000,18368,82961.506093
736,2020-11-24 01:00:00,18368.01,19418.97,18018,19160.01,113581.509241
737,2020-11-25 01:00:00,19160,19484.21,18500.27,18719.11,93266.576887
738,2020-11-26 01:00:00,18718.83,18915.03,16188,17149.47,181005.246693
739,2020-11-27 01:00:00,17149.47,17457.62,16438.08,17139.52,85297.024787
740,2020-11-28 01:00:00,17139.53,17880.49,16865.56,17719.85,64910.69997
741,2020-11-29 01:00:00,17719.84,18360.05,17517,18184.99,55329.016303
742,2020-11-30 01:00:00,18185,19863.16,18184.99,19695.87,115463.466888
743,2020-12-01 01:00:00,19695.87,19888,18001.12,18764.96,127698.762652
744,2020-12-02 01:00:00,18764.96,19342,18330,19204.09,75911.013478
745,2020-12-03 01:00:00,19204.08,19598,18867.2,19421.9,66689.391279
746,2020-12-04 01:00:00,19422.34,19527,18565.31,18650.52,71283.6682
747,2020-12-05 01:00:00,18650.51,19177,18500,19147.66,42922.748573
748,2020-12-06 01:00:00,19147.66,19420,18857,19359.4,37043.091861
749,2020-12-07 01:00:00,19358.67,19420.91,18902.88,19166.9,41372.296293
750,2020-12-08 01:00:00,19166.9,19294.84,18200,18324.11,61626.947614
751,2020-12-09 01:00:00,18324.11,18639.57,17650,18541.28,79585.553801
752,2020-12-10 01:00:00,18541.29,18557.32,17911.12,18254.63,52890.675094
753,2020-12-11 01:00:00,18254.81,18292.73,17572.33,18036.53,72610.724259
754,2020-12-12 01:00:00,18036.53,18948.66,18020.7,18808.69,49519.978432
755,2020-12-13 01:00:00,18808.69,19411,18711.12,19174.99,56560.821744
756,2020-12-14 01:00:00,19174.99,19349,19000,19273.14,47257.201294
757,2020-12-15 01:00:00,19273.69,19570,19050,19426.43,61834.366011
758,2020-12-16 01:00:00,19426.43,21560,19278.6,21335.52,114306.33557
759,2020-12-17 01:00:00,21335.52,23800,21230,22797.16,184882.476748
760,2020-12-18 01:00:00,22797.15,23285.18,22350,23107.39,79646.134315
761,2020-12-19 01:00:00,23107.39,24171.47,22750,23821.61,86045.064677
762,2020-12-20 01:00:00,23821.6,24295,23060,23455.52,76690.145685
763,2020-12-21 01:00:00,23455.54,24102.77,21815,22719.71,88030.297243
764,2020-12-22 01:00:00,22719.88,23837.1,22353.4,23810.79,87033.12616
765,2020-12-23 01:00:00,23810.79,24100,22600,23232.76,119047.259733
766,2020-12-24 01:00:00,23232.39,23794.43,22703.42,23729.2,69013.834252
767,2020-12-25 01:00:00,23728.99,24789.86,23433.6,24712.47,79519.943569
768,2020-12-26 01:00:00,24712.47,26867.03,24500,26493.39,97806.513386
769,2020-12-27 01:00:00,26493.4,28422,25700,26281.66,148455.586214
770,2020-12-28 01:00:00,26281.54,27500,26101,27079.41,79721.742496
771,2020-12-29 01:00:00,27079.42,27410,25880,27385,69411.592606
772,2020-12-30 01:00:00,27385,28996,27320,28875.54,95356.057826
773,2020-12-31 01:00:00,28875.55,29300,27850,28923.63,75508.505152
774,2021-01-01 01:00:00,28923.63,29600,28624.57,29331.69,54182.925011
775,2021-01-02 01:00:00,29331.7,33300,28946.53,32178.33,129993.873362
776,2021-01-03 01:00:00,32176.45,34778.11,31962.99,33000.05,120957.56675
777,2021-01-04 01:00:00,33000.05,33600,28130,31988.71,140899.88569
778,2021-01-05 01:00:00,31989.75,34360,29900,33949.53,116049.997038
779,2021-01-06 01:00:00,33949.53,36939.21,33288,36769.36,127139.20131
780,2021-01-07 01:00:00,36769.36,40365,36300,39432.28,132825.700437
781,2021-01-08 01:00:00,39432.48,41950,36500,40582.81,139789.957499
782,2021-01-09 01:00:00,40586.96,41380,38720,40088.22,75785.979675
783,2021-01-10 01:00:00,40088.22,41350,35111.11,38150.02,118209.544503
784,2021-01-11 01:00:00,38150.02,38264.74,30420,35404.47,249131.539943
785,2021-01-12 01:00:00,35410.37,36628,32531,34051.24,133948.151996
786,2021-01-13 01:00:00,34049.15,37850,32380,37371.38,124477.914938
787,2021-01-14 01:00:00,37371.38,40100,36701.23,39144.5,102950.389421
788,2021-01-15 01:00:00,39145.21,39747.76,34408,36742.22,118300.920916
789,2021-01-16 01:00:00,36737.43,37950,35357.8,35994.98,86348.431508
790,2021-01-17 01:00:00,35994.98,36852.5,33850,35828.61,80157.727384
791,2021-01-18 01:00:00,35824.99,37469.83,34800,36631.27,70698.11875
792,2021-01-19 01:00:00,36622.46,37850,35844.06,35891.49,79611.307769
793,2021-01-20 01:00:00,35901.94,36415.31,33400,35468.23,89368.422918
794,2021-01-21 01:00:00,35468.23,35600,30071,30850.13,131803.182926
795,2021-01-22 01:00:00,30851.99,33826.53,28850,32945.17,142971.684049
